I	why-not-me.txt:4,the-man-cant-be-moved.txt:6,
a	the-man-cant-be-moved.txt:1,
all	why-not-me.txt:2,
alone	why-not-me.txt:1,
am	the-man-cant-be-moved.txt:4,
and	why-not-me.txt:1,the-man-cant-be-moved.txt:3,
are	why-not-me.txt:2,
baby	why-not-me.txt:3,
back	the-man-cant-be-moved.txt:2,
bag	the-man-cant-be-moved.txt:1,
be	why-not-me.txt:2,the-man-cant-be-moved.txt:1,
been	why-not-me.txt:1,
between	why-not-me.txt:1,
broke	the-man-cant-be-moved.txt:1,
broken	why-not-me.txt:2,the-man-cant-be-moved.txt:1,
but	the-man-cant-be-moved.txt:1,
cause	why-not-me.txt:1,the-man-cant-be-moved.txt:1,
closed	why-not-me.txt:1,
come	the-man-cant-be-moved.txt:1,
corner	the-man-cant-be-moved.txt:2,
could	why-not-me.txt:1,the-man-cant-be-moved.txt:1,
cramp	the-man-cant-be-moved.txt:1,
day	the-man-cant-be-moved.txt:1,
dreams	why-not-me.txt:1,
earth	the-man-cant-be-moved.txt:1,
escaping	why-not-me.txt:1,
eyes	why-not-me.txt:1,
fall	why-not-me.txt:1,
find	the-man-cant-be-moved.txt:1,
first	the-man-cant-be-moved.txt:1,
floor	why-not-me.txt:2,
for	the-man-cant-be-moved.txt:1,
free	why-not-me.txt:1,
friends	why-not-me.txt:1,
going	the-man-cant-be-moved.txt:1,
gonna	the-man-cant-be-moved.txt:2,
greatest	why-not-me.txt:1,
hard	why-not-me.txt:1,
heart	why-not-me.txt:2,the-man-cant-be-moved.txt:1,
hearted	the-man-cant-be-moved.txt:1,
here	why-not-me.txt:1,
if	the-man-cant-be-moved.txt:1,
in	the-man-cant-be-moved.txt:1,
into	why-not-me.txt:1,
is	why-not-me.txt:2,
just	why-not-me.txt:2,the-man-cant-be-moved.txt:1,
know	why-not-me.txt:2,
love	why-not-me.txt:2,
man	the-man-cant-be-moved.txt:1,
maybe	the-man-cant-be-moved.txt:1,
me	why-not-me.txt:4,the-man-cant-be-moved.txt:2,
meant	why-not-me.txt:1,
meet	the-man-cant-be-moved.txt:1,
missing	the-man-cant-be-moved.txt:1,
move	the-man-cant-be-moved.txt:1,
moving	the-man-cant-be-moved.txt:2,
my	why-not-me.txt:5,the-man-cant-be-moved.txt:1,
need	why-not-me.txt:1,
never	why-not-me.txt:1,
nights	why-not-me.txt:1,
not	why-not-me.txt:3,the-man-cant-be-moved.txt:4,
now	why-not-me.txt:1,
of	the-man-cant-be-moved.txt:1,
oh	why-not-me.txt:3,
on	why-not-me.txt:2,the-man-cant-be-moved.txt:2,
one	the-man-cant-be-moved.txt:1,
pieces	why-not-me.txt:1,
place	the-man-cant-be-moved.txt:1,
saw	the-man-cant-be-moved.txt:1,
say	why-not-me.txt:1,
see	the-man-cant-be-moved.txt:1,
shadows	why-not-me.txt:1,
shattered	why-not-me.txt:1,
sleeping	the-man-cant-be-moved.txt:1,
so	why-not-me.txt:2,
soul	why-not-me.txt:1,
start	the-man-cant-be-moved.txt:1,
story	why-not-me.txt:1,
street	the-man-cant-be-moved.txt:1,
struggle	why-not-me.txt:1,
tell	why-not-me.txt:1,
that	why-not-me.txt:1,the-man-cant-be-moved.txt:1,
the	why-not-me.txt:2,the-man-cant-be-moved.txt:4,
to	why-not-me.txt:2,the-man-cant-be-moved.txt:3,
told	why-not-me.txt:1,
true	why-not-me.txt:1,
trying	why-not-me.txt:1,
up	why-not-me.txt:3,the-man-cant-be-moved.txt:1,
waiting	the-man-cant-be-moved.txt:1,
wake	the-man-cant-be-moved.txt:1,
we	why-not-me.txt:2,the-man-cant-be-moved.txt:1,
were	why-not-me.txt:1,
when	why-not-me.txt:1,
where	the-man-cant-be-moved.txt:2,
why	why-not-me.txt:8,
will	why-not-me.txt:1,the-man-cant-be-moved.txt:1,
without	why-not-me.txt:1,
woke	why-not-me.txt:1,
wonder	the-man-cant-be-moved.txt:1,
you	why-not-me.txt:4,the-man-cant-be-moved.txt:4,
your	the-man-cant-be-moved.txt:1,
yourself	the-man-cant-be-moved.txt:1,
